index,day_of_week,month,hour,x_coord,y_coord,delays
410,5.0,4.0,2.0,-84.415308,33.741357,223.85
411,5.0,4.0,3.0,-84.415308,33.741357,216.4
412,5.0,4.0,4.0,-84.415308,33.741357,237.0
413,5.0,4.0,5.0,-84.415308,33.741357,237.0
414,5.0,4.0,6.0,-84.415308,33.741357,259.95
415,5.0,4.0,7.0,-84.415308,33.741357,296.5
416,5.0,4.0,8.0,-84.415308,33.741357,298.05
417,5.0,4.0,9.0,-84.415308,33.741357,250.9
418,5.0,4.0,10.0,-84.415308,33.741357,238.5
419,5.0,4.0,11.0,-84.415308,33.741357,238.5
420,5.0,4.0,12.0,-84.415308,33.741357,237.125
421,5.0,4.0,13.0,-84.415308,33.741357,217.75
422,5.0,4.0,14.0,-84.415308,33.741357,147.1
423,5.0,4.0,15.0,-84.415308,33.741357,146.9
424,5.0,4.0,16.0,-84.415308,33.741357,146.35
425,5.0,4.0,17.0,-84.415308,33.741357,177.7
426,5.0,4.0,18.0,-84.415308,33.741357,388.15
427,5.0,4.0,19.0,-84.415308,33.741357,356.6666666666667
428,5.0,4.0,20.0,-84.415308,33.741357,297.7216666666667
429,5.0,4.0,21.0,-84.415308,33.741357,275.9166666666667
430,5.0,4.0,22.0,-84.415308,33.741357,162.10833333333332
431,5.0,4.0,23.0,-84.415308,33.741357,153.88333333333333
432,5.0,4.0,0.0,-84.399467,33.744566,223.98000000000002
433,5.0,4.0,1.0,-84.399467,33.744566,223.43
434,5.0,4.0,2.0,-84.399467,33.744566,201.14666666666668
435,5.0,4.0,3.0,-84.399467,33.744566,203.29666666666668
436,5.0,4.0,4.0,-84.399467,33.744566,170.06666666666666
437,5.0,4.0,5.0,-84.399467,33.744566,205.97916666666669
438,5.0,4.0,6.0,-84.399467,33.744566,433.1958333333334
439,5.0,4.0,7.0,-84.399467,33.744566,429.7958333333334
440,5.0,4.0,8.0,-84.399467,33.744566,430.3458333333334
441,5.0,4.0,9.0,-84.399467,33.744566,430.3458333333334
442,5.0,4.0,10.0,-84.399467,33.744566,459.4125
